step,epoch,lossD,lossG,sec_per_step
314,1,0.067595,4.235692,0.0314
315,1,0.070766,4.698474,0.0314
316,1,0.079028,4.396513,0.0314
317,1,0.087490,4.633750,0.0314
318,1,0.068092,5.166822,0.0314
319,1,0.075242,4.252506,0.0314
320,1,0.104196,3.732112,0.0314
321,1,0.194269,3.041528,0.0314
322,1,0.550392,0.748369,0.0314
323,1,1.114393,3.790901,0.0314
324,1,0.166779,4.276193,0.0314
325,1,0.089027,6.309066,0.0314
326,1,0.078982,4.249971,0.0314
327,1,0.083707,4.969308,0.0314
328,1,0.103200,4.405797,0.0314
329,1,0.115123,4.147239,0.0314
330,1,0.154717,3.483060,0.0314
331,1,0.151805,3.967958,0.0314
332,1,0.141580,3.322566,0.0314
333,1,0.146821,3.727422,0.0314
334,1,0.157382,3.960775,0.0314
335,1,0.130118,3.729054,0.0314
336,1,0.125980,4.125638,0.0314
337,1,0.128395,4.257009,0.0314
338,1,0.077892,4.941841,0.0315
339,1,0.081781,4.126650,0.0315
340,1,0.093190,4.216176,0.0315
341,1,0.073223,4.713861,0.0315
342,1,0.090042,4.571262,0.0315
343,1,0.103286,4.395703,0.0315
344,1,0.085036,4.650956,0.0315
345,1,0.082232,4.554797,0.0315
346,1,0.096057,4.144799,0.0315
347,1,0.087115,3.901406,0.0314
348,1,0.077382,4.484098,0.0314
349,1,0.101555,3.904879,0.0314
350,1,0.129471,3.944383,0.0314
351,1,0.105831,4.419084,0.0314
352,1,0.092780,4.317125,0.0314
353,1,0.088995,4.388607,0.0314
354,1,0.107053,4.659180,0.0314
355,1,0.076181,4.558828,0.0314
356,1,0.078926,4.500169,0.0314
357,1,0.069740,4.449599,0.0314
358,1,0.058763,4.678331,0.0314
359,1,0.073622,5.012008,0.0314
360,1,0.049036,4.847687,0.0314
361,1,0.072004,4.415884,0.0314
362,1,0.079935,4.610428,0.0314
363,1,0.063361,5.226905,0.0314
364,1,0.077566,4.606021,0.0314
365,1,0.063144,4.925273,0.0314
366,1,0.066132,4.337863,0.0314
367,1,0.090620,4.102334,0.0314
368,1,0.082599,3.872345,0.0314
369,1,0.074947,4.924385,0.0314
370,1,0.057120,4.406077,0.0314
371,1,0.058766,5.530356,0.0314
372,1,0.042294,4.347969,0.0314
373,1,0.047859,4.971651,0.0314
374,1,0.047317,4.791182,0.0314
375,1,0.044339,5.319786,0.0314
376,1,0.037539,4.298634,0.0314
377,1,0.037566,5.329637,0.0314
378,1,0.049318,4.503551,0.0314
379,1,0.063253,5.406442,0.0314
380,1,0.034102,4.424845,0.0314
381,1,0.038341,5.477376,0.0314
382,1,0.039941,4.506200,0.0314
383,1,0.036066,4.711701,0.0314
384,1,0.031381,5.034336,0.0314
385,1,0.038410,4.945286,0.0314
386,1,0.038032,5.258732,0.0314
387,1,0.047433,4.766865,0.0314
388,1,0.052395,4.751555,0.0314
389,1,0.053378,5.010675,0.0314
390,1,0.029993,5.011695,0.0314
391,1,0.076213,4.889421,0.0314
392,1,0.074818,3.612591,0.0314
393,1,0.111937,2.821959,0.0314
394,1,0.103869,4.746170,0.0314
395,1,0.070564,4.955058,0.0314
396,1,0.103442,3.818867,0.0314
397,1,0.226454,0.287696,0.0314
398,1,5.151469,6.272792,0.0314
399,1,0.560267,2.158940,0.0314
400,1,0.165219,5.943665,0.0314
